change_id,term_iri,change_type,old_value,new_value,ontology_version,rationale,odr_ref
CL-0022,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Subscriber,MOVE_MODULE,http://example.org/kg-mnp#Subscriber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#Subscriber,1.0.0,Moved from core to identity.,
CL-0023,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SystemObservation,MOVE_MODULE,http://example.org/kg-mnp#SystemObservation,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#SystemObservation,1.0.0,Evidence produced by an information system observation.,
CL-0024,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomAccount,MOVE_MODULE,http://example.org/kg-mnp#TelecomAccount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomAccount,1.0.0,A billing or customer account through which services are charged.,
CL-0025,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomService,MOVE_MODULE,http://example.org/kg-mnp#TelecomService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#TelecomService,1.0.0,A catalogued telecom service or product offering.,
CL-0026,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#aboutCase,MOVE_MODULE,http://example.org/kg-mnp#aboutCase,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#aboutCase,1.0.0,Links an assessment to the MNP case it evaluates.,
CL-0027,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#actionCode,MOVE_MODULE,http://example.org/kg-mnp#actionCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#actionCode,1.0.0,Code identifying a remediation action.,
CL-0028,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#affectsAssessment,MOVE_MODULE,http://example.org/kg-mnp#affectsAssessment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#affectsAssessment,1.0.0,Links a newer rule version to assessments affected by supersession.,
CL-0029,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentIdentifier,MOVE_MODULE,http://example.org/kg-mnp#assessmentIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentIdentifier,1.0.0,Business identifier of an eligibility assessment.,
CL-0030,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentTime,MOVE_MODULE,http://example.org/kg-mnp#assessmentTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assessmentTime,1.0.0,As-of datetime used when selecting rule versions and evaluating evidence validity.,
CL-0031,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#billedThrough,MODIFY,http://example.org/kg-mnp#billedThrough,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#billedThrough,1.0.0,ODR-001: domain changed from Subscriber to ServiceSubscription.,
CL-0032,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#caseIdentifier,MOVE_MODULE,http://example.org/kg-mnp#caseIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#caseIdentifier,1.0.0,Business identifier of an MNP case.,
CL-0033,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#citesClause,MOVE_MODULE,http://example.org/kg-mnp#citesClause,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#citesClause,1.0.0,Links a blocking reason to a cited regulatory clause.,
CL-0034,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#clauseIdentifier,MOVE_MODULE,http://example.org/kg-mnp#clauseIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#clauseIdentifier,1.0.0,Business identifier of a regulatory clause.,
CL-0035,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#concernsNumber,MOVE_MODULE,http://example.org/kg-mnp#concernsNumber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#concernsNumber,1.0.0,Links an MNP case to the phone number concerned.,
CL-0036,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractEndTime,MODIFY,http://example.org/kg-mnp#contractEndTime,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractEndTime,1.0.0,Domain removed to avoid typing EvidenceRecord as ServiceContract.,
CL-0037,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractStatusCode,MODIFY,http://example.org/kg-mnp#contractStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#contractStatusCode,1.0.0,Domain removed to avoid typing EvidenceRecord as ServiceContract.,
CL-0038,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#currencyCode,MOVE_MODULE,http://example.org/kg-mnp#currencyCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#currencyCode,1.0.0,ISO-like currency code for an observed amount.,
CL-0039,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#daysSinceLastPort,MOVE_MODULE,http://example.org/kg-mnp#daysSinceLastPort,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#daysSinceLastPort,1.0.0,Observed days since last portability event.,
CL-0040,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#decisionCode,MOVE_MODULE,http://example.org/kg-mnp#decisionCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#decisionCode,1.0.0,Code of an eligibility decision outcome.,
CL-0041,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#dependsOn,DEPRECATE,http://example.org/kg-mnp#dependsOn,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,1.0.0,ODR-004.,
CL-0042,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#dependsOnEvidence,DEPRECATE,http://example.org/kg-mnp#dependsOnEvidence,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,1.0.0,Deprecated; use usesEvidence directly.,
CL-0043,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#dependsOnRuleVersion,DEPRECATE,http://example.org/kg-mnp#dependsOnRuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesRuleVersion,1.0.0,Deprecated; use usesRuleVersion directly.,
CL-0044,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#documentIdentifier,MOVE_MODULE,http://example.org/kg-mnp#documentIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#documentIdentifier,1.0.0,Business identifier of a regulatory document.,
CL-0045,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveFrom,MOVE_MODULE,http://example.org/kg-mnp#effectiveFrom,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveFrom,1.0.0,Datetime from which a rule version is effective.,
CL-0046,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveTo,MOVE_MODULE,http://example.org/kg-mnp#effectiveTo,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#effectiveTo,1.0.0,Datetime until which a rule version is effective.,
CL-0047,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evaluatedByRule,MOVE_MODULE,http://example.org/kg-mnp#evaluatedByRule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evaluatedByRule,1.0.0,Links an assessment to an eligibility rule consulted.,
CL-0048,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceForCase,MOVE_MODULE,http://example.org/kg-mnp#evidenceForCase,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceForCase,1.0.0,ODR-003: retained inverse.,
CL-0049,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceGeneratedAt,MOVE_MODULE,http://example.org/kg-mnp#evidenceGeneratedAt,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceGeneratedAt,1.0.0,Datetime when evidence was generated.,
CL-0050,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceStatus,MOVE_MODULE,http://example.org/kg-mnp#evidenceStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceStatus,1.0.0,Status code of an evidence record (VALID/EXPIRED/REVOKED/UNKNOWN).,
CL-0051,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceType,MOVE_MODULE,http://example.org/kg-mnp#evidenceType,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceType,1.0.0,Type code classifying an evidence record.,
CL-0052,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceValidUntil,MOVE_MODULE,http://example.org/kg-mnp#evidenceValidUntil,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#evidenceValidUntil,1.0.0,Datetime until which evidence remains valid.,
CL-0053,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#governedByContract,MOVE_MODULE,http://example.org/kg-mnp#governedByContract,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#governedByContract,1.0.0,Links a service subscription to its governing service contract.,
CL-0054,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasCaseEvidence,MOVE_MODULE,http://example.org/kg-mnp#hasCaseEvidence,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasCaseEvidence,1.0.0,"ODR-003: availability, not assessment use.",
CL-0055,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasEligibilityAssessment,MOVE_MODULE,http://example.org/kg-mnp#hasEligibilityAssessment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasEligibilityAssessment,1.0.0,Links an MNP case to an eligibility assessment.,
CL-0056,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasPaymentArrangement,MOVE_MODULE,http://example.org/kg-mnp#hasPaymentArrangement,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasPaymentArrangement,1.0.0,Boolean flag on evidence indicating a payment arrangement.,
CL-0057,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasRuleVersion,MOVE_MODULE,http://example.org/kg-mnp#hasRuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasRuleVersion,1.0.0,Links an eligibility rule to a concrete rule version.,
CL-0058,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasSourceSystem,MOVE_MODULE,http://example.org/kg-mnp#hasSourceSystem,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasSourceSystem,1.0.0,Links an evidence record to its producing information system.,
CL-0059,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasSubscription,DEPRECATE,http://example.org/kg-mnp#hasSubscription,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#holdsSubscription,1.0.0,ODR-001.,
CL-0060,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#identityMatchFlag,MOVE_MODULE,http://example.org/kg-mnp#identityMatchFlag,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#identityMatchFlag,1.0.0,Boolean flag indicating identity match on evidence.,
CL-0061,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#mappingReviewStatus,MOVE_MODULE,http://example.org/kg-mnp#mappingReviewStatus,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#mappingReviewStatus,1.0.0,Review status of a mapping record.,
CL-0062,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#maskedPhoneNumber,MOVE_MODULE,http://example.org/kg-mnp#maskedPhoneNumber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#maskedPhoneNumber,1.0.0,A privacy-preserving masked representation of a phone number.,
CL-0063,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#numberStatusCode,MOVE_MODULE,http://example.org/kg-mnp#numberStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#numberStatusCode,1.0.0,Number status observed on evidence.,
CL-0064,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#observedAmount,MOVE_MODULE,http://example.org/kg-mnp#observedAmount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#observedAmount,1.0.0,Observed monetary amount on an evidence record.,
CL-0065,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#operationalizesClause,MOVE_MODULE,http://example.org/kg-mnp#operationalizesClause,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#operationalizesClause,1.0.0,Links an eligibility rule to a regulatory clause it operationalizes.,
CL-0066,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ownsPhoneNumber,DEPRECATE,http://example.org/kg-mnp#ownsPhoneNumber,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#assignedToSubscription,1.0.0,ODR-001: use holdsSubscription + assignedToSubscription chain.,
CL-0067,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#partOfDocument,MOVE_MODULE,http://example.org/kg-mnp#partOfDocument,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#partOfDocument,1.0.0,Links a regulatory clause to its parent document.,
CL-0068,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#producesBlockingReason,DEPRECATE,http://example.org/kg-mnp#producesBlockingReason,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#hasBlockingReason,1.0.0,ODR-002.,
CL-0069,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#producesDecision,MOVE_MODULE,http://example.org/kg-mnp#producesDecision,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#producesDecision,1.0.0,ODR-002.,
CL-0070,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#reasonCode,MOVE_MODULE,http://example.org/kg-mnp#reasonCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#reasonCode,1.0.0,Code identifying a blocking reason.,
CL-0071,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#recommendsAction,MOVE_MODULE,http://example.org/kg-mnp#recommendsAction,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#recommendsAction,1.0.0,Links a blocking reason to a remediation action.,
CL-0072,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#relatedAccount,DEPRECATE,http://example.org/kg-mnp#relatedAccount,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#billedThrough,1.0.0,ODR-001.,
CL-0073,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#requestedBy,MOVE_MODULE,http://example.org/kg-mnp#requestedBy,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#requestedBy,1.0.0,Links an MNP case to the requesting subscriber.,
CL-0074,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#requiresReassessment,MOVE_MODULE,http://example.org/kg-mnp#requiresReassessment,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#requiresReassessment,1.0.0,Boolean flag indicating reassessment is required.,
CL-0075,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ruleIdentifier,MOVE_MODULE,http://example.org/kg-mnp#ruleIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ruleIdentifier,1.0.0,Business identifier of an eligibility rule.,
CL-0076,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ruleVersion,MOVE_MODULE,http://example.org/kg-mnp#ruleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#ruleVersion,1.0.0,Version label string for a rule or rule version.,
CL-0077,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceApi,MOVE_MODULE,http://example.org/kg-mnp#sourceApi,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceApi,1.0.0,Identifier of the source API for a mapping record.,
CL-0078,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceFieldPath,MOVE_MODULE,http://example.org/kg-mnp#sourceFieldPath,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#sourceFieldPath,1.0.0,Path of the source field within an API payload.,
CL-0079,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#subscribesToService,MOVE_MODULE,http://example.org/kg-mnp#subscribesToService,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#subscribesToService,1.0.0,Links a service subscription to the subscribed telecom service.,
CL-0080,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#subscriptionStatusCode,MOVE_MODULE,http://example.org/kg-mnp#subscriptionStatusCode,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#subscriptionStatusCode,1.0.0,Status code of a service subscription.,
CL-0081,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#supportedByEvidence,MOVE_MODULE,http://example.org/kg-mnp#supportedByEvidence,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#supportedByEvidence,1.0.0,Links a blocking reason to supporting evidence.,
CL-0082,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#systemIdentifier,MOVE_MODULE,http://example.org/kg-mnp#systemIdentifier,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#systemIdentifier,1.0.0,Business identifier of an information system.,
CL-0083,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#targetTerm,MOVE_MODULE,http://example.org/kg-mnp#targetTerm,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#targetTerm,1.0.0,Local name or IRI string of the target ontology term.,
CL-0084,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#triggeredByRule,MOVE_MODULE,http://example.org/kg-mnp#triggeredByRule,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#triggeredByRule,1.0.0,Links a blocking reason to the triggering eligibility rule.,
CL-0085,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#triggeredByRuleVersion,MOVE_MODULE,http://example.org/kg-mnp#triggeredByRuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#triggeredByRuleVersion,1.0.0,Links a blocking reason to the triggering rule version.,
CL-0086,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,MOVE_MODULE,http://example.org/kg-mnp#usesEvidence,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesEvidence,1.0.0,ODR-003/004.,
CL-0087,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesRuleVersion,MOVE_MODULE,http://example.org/kg-mnp#usesRuleVersion,https://yangjunjie-lin.github.io/KG-MNP-Demo/ontology/terms#usesRuleVersion,1.0.0,Links an assessment to the concrete rule version used.,
